mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_smote__k_neighbors,param_smote__sampling_strategy,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08594951629638672,0.004617403512166569,0.012180185317993164,0.001656522813966462,0.1,3,auto,1000,"(1, 1)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.4439924756811243,0.5046894095955834,0.44706717479036767,0.47368199770654995,0.43818053357515674,0.4615223182697564,0.02478846927286495,238
0.21399760246276855,0.024128092251857344,0.020377397537231445,0.0012086937381046655,0.1,3,auto,1000,"(1, 2)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.4805292423932018,0.4519503964427536,0.4238088567808248,0.4594721768624624,0.4320762433075378,0.449567383157356,0.020158680871206727,365
0.36234235763549805,0.013124274893423346,0.028532886505126955,0.0017449264494197342,0.1,3,auto,1000,"(1, 3)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.4836903765244186,0.4617914540779289,0.4073012790853488,0.40407161288487337,0.41682550245866107,0.43473604500624613,0.032069558921933396,543
0.07516365051269532,0.0013529319554439693,0.011058998107910157,0.000299530353584833,0.1,3,auto,2000,"(1, 1)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 1)}",0.44533432698282815,0.4985122999215517,0.4199262877507973,0.44212278079544937,0.4481684270196624,0.4508128244940578,0.025852434084695924,341
0.19900979995727539,0.006744575438120931,0.019719648361206054,0.001182511403790713,0.1,3,auto,2000,"(1, 2)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",0.47926249019896794,0.5100631829520934,0.43610345104182435,0.44588690673628417,0.44120132165531767,0.4625034705168975,0.028176741308756383,230
0.3293555736541748,0.018536648456966474,0.025667953491210937,0.0017013559052759916,0.1,3,auto,2000,"(1, 3)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 3)}",0.45942122035769806,0.5157237805244557,0.42496155897225074,0.4189099074741546,0.41865232613772707,0.4475337586932572,0.03729385211393652,400
0.07077612876892089,0.0006327835272252029,0.012009763717651367,0.0017382440599035425,0.1,3,auto,3000,"(1, 1)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.42478575802863555,0.5103031995243379,0.38756011155405806,0.43448960118862345,0.4351223409929774,0.4384522022577265,0.039915241664154305,496
0.18672218322753906,0.004811220831648614,0.02088336944580078,0.0028765760128607186,0.1,3,auto,3000,"(1, 2)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.4447072363379685,0.5221770048726868,0.41628603562281435,0.44782785969580663,0.44482503193118467,0.4551646336920922,0.03541834568623162,278
0.32518877983093264,0.004166874504002358,0.028004789352416994,0.002330634957222186,0.1,3,auto,3000,"(1, 3)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 3)}",0.4489971887019558,0.49741992846101274,0.4037998402943229,0.489372946909847,0.4341307186276103,0.45474412459894975,0.03485294665065502,280
0.07707004547119141,0.0022400120165591507,0.010820245742797852,0.00044673612405597945,0.1,3,auto,,"(1, 1)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 1)}",0.4409798831340198,0.48662262381742843,0.3852536657978652,0.411401047765963,0.44261812634818837,0.43337506937269293,0.033991459093502506,557
0.22295894622802734,0.0036434144820722287,0.022525644302368163,0.002995028313553528,0.1,3,auto,,"(1, 2)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 2)}",0.41202279519727325,0.4686191887464712,0.42686230617569343,0.40740941719268364,0.42932265360825406,0.42884727218407515,0.021580621293699743,603
0.3909341335296631,0.013862628194567737,0.03194613456726074,0.0020295844053188337,0.1,3,auto,,"(1, 3)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'auto', 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 3)}",0.4214309447109215,0.471761854081339,0.4307812179138304,0.39731301413203646,0.42153383180627707,0.42856417252888085,0.024281262375214264,609
0.04729738235473633,0.00320783462284971,0.010580492019653321,0.00041919105247564315,0.1,3,minority,1000,"(1, 1)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'minority', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.2388568153359535,0.2762556344401494,0.20906738589587218,0.23086543797438203,0.2214675341928663,0.23530256156784465,0.022755954773736646,917
0.16013717651367188,0.007151456536774145,0.018378686904907227,0.0008140194569664606,0.1,3,minority,1000,"(1, 2)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'minority', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.24745459969691216,0.25169793663295714,0.20453136768706665,0.23697928145296915,0.2325811958383244,0.23464887626164593,0.016561566506062955,918
0.2965611457824707,0.003488599512496282,0.02643890380859375,0.002517263934600931,0.1,3,minority,1000,"(1, 3)","{'nb__alpha': 0.1, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 'minority', 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.24632548643544597,0.24749714015274887,0.21702307504507443,0.23697928145296915,0.2240986460278045,0.2343847258228086,0.01207045357692512,919
